City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Pout,SN,2021-01-26 22:16:35,14.7739,-17.0603,71.6,33,0,11.5
249,Gigmoto,PH,2021-01-26 22:16:36,13.7796,124.39,78.48,86,64,9.98
250,Baracoa,CU,2021-01-26 22:16:36,20.3467,-74.4958,77.94,77,96,8.57
251,Creel,MX,2021-01-26 22:16:36,27.75,-107.6333,43.57,48,58,24.0
252,Naze,JP,2021-01-26 22:16:36,28.3667,129.4833,60.8,100,75,4.61
253,Otacilio Costa,BR,2021-01-26 22:16:36,-27.4831,-50.1219,68.41,97,100,1.61
254,Skagen,DK,2021-01-26 22:16:36,57.7209,10.5839,33.01,86,40,1.01
255,Quelimane,MZ,2021-01-26 22:16:36,-17.8786,36.8883,80.6,89,20,0.78
256,Aksaray,TR,2021-01-26 22:16:37,38.3726,34.0254,41.0,70,75,11.5
257,Santa Isabel Do Rio Negro,BR,2021-01-26 22:16:37,-0.4139,-65.0192,80.91,80,99,1.52
258,Aranos,NA,2021-01-26 22:16:37,-24.1333,19.1167,77.77,49,54,7.43
259,Cotonou,BJ,2021-01-26 22:16:37,6.3654,2.4183,84.2,79,68,11.5
260,Lakeside,US,2021-01-26 22:16:37,30.13,-81.7682,78.8,65,75,9.22
261,Rawson,AR,2021-01-26 22:16:38,-43.3002,-65.1023,64.69,43,81,14.58
262,Talnakh,RU,2021-01-26 22:16:38,69.4865,88.3972,-22.79,81,100,8.63
263,Provideniya,RU,2021-01-26 22:12:10,64.3833,-173.3,6.8,78,75,11.18
264,Tuy Hoa,VN,2021-01-26 22:16:38,13.0833,109.3,71.31,90,98,7.92
265,Chokurdakh,RU,2021-01-26 22:16:38,70.6333,147.9167,-29.63,81,99,6.42
266,Belmonte,BR,2021-01-26 22:16:38,-15.8631,-38.8828,78.8,73,20,9.22
267,Lucapa,AO,2021-01-26 22:16:38,-8.4192,20.7447,63.5,84,100,1.52
268,Mahebourg,MU,2021-01-26 22:16:39,-20.4081,57.7,73.4,88,20,5.75
269,Igrim,RU,2021-01-26 22:16:39,63.1906,64.4162,-7.38,90,100,6.96
270,Ustye,RU,2021-01-26 22:16:39,59.6304,39.736,33.13,97,100,12.33
271,Marathon,US,2021-01-26 22:16:39,44.9,-89.7668,21.99,58,20,5.75
272,Mgandu,TZ,2021-01-26 22:16:39,-5.95,34.1333,60.46,95,11,2.59
273,Elkton,US,2021-01-26 22:16:40,39.6068,-75.8333,39.0,87,100,2.98
274,Asaba,NG,2021-01-26 22:16:40,6.2006,6.7338,80.62,72,61,8.1
275,Muroto,JP,2021-01-26 22:16:40,33.2833,134.15,55.4,71,75,17.27
276,Mount Gambier,AU,2021-01-26 22:16:40,-37.8333,140.7667,60.8,51,30,14.97
277,Bilibino,RU,2021-01-26 22:16:40,68.0546,166.4372,-21.55,82,58,6.49
278,Nurota,UZ,2021-01-26 22:16:41,40.5614,65.6886,24.8,93,0,4.61
279,Ziyang,CN,2021-01-26 22:16:41,29.2497,117.8547,44.71,85,67,2.84
280,Pontevel,PT,2021-01-26 22:16:41,39.1494,-8.8388,59.0,57,95,1.99
281,Puerto Escondido,MX,2021-01-26 22:16:41,15.85,-97.0667,84.33,54,0,7.36
282,Samarai,PG,2021-01-26 22:16:41,-10.6167,150.6667,82.76,72,100,5.91
283,Puerto Baquerizo Moreno,EC,2021-01-26 22:12:19,-0.9,-89.6,76.6,86,40,13.2
284,Ostrovnoy,RU,2021-01-26 22:16:42,68.0531,39.5131,6.96,93,100,18.21
285,Alta Floresta,BR,2021-01-26 22:16:42,-9.8756,-56.0861,77.52,87,99,1.05
286,Kasongo,CD,2021-01-26 22:16:42,-4.45,26.6667,68.36,92,99,2.19
287,Turtas,RU,2021-01-26 22:16:43,58.9417,69.1325,29.53,98,100,11.36
288,Vardo,NO,2021-01-26 22:16:43,70.3705,31.1107,26.6,86,75,31.07
289,Kruisfontein,ZA,2021-01-26 22:16:43,-34.0033,24.7314,71.01,82,91,1.01
290,Birin,NP,2021-01-26 22:16:43,26.8865,88.0718,42.58,83,0,3.56
291,Kaitangata,NZ,2021-01-26 22:16:43,-46.2817,169.8464,64.0,70,100,1.99
292,Tarauaca,BR,2021-01-26 22:16:00,-8.1614,-70.7656,72.68,96,100,2.28
293,Meulaboh,ID,2021-01-26 22:16:44,4.1363,96.1285,75.36,87,87,5.14
