City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Souillac,MU,-20.5167,57.5167,75.2,88,40,7.99,scattered clouds
282,Barguzin,RU,53.6167,109.6167,-18.53,80,89,2.46,overcast clouds
283,Tarko-Sale,RU,64.9225,77.785,-26.81,85,100,10.16,overcast clouds
284,Caibarien,CU,22.5206,-79.4669,73.4,78,75,8.05,broken clouds
285,Kaabong,UG,3.4836,34.1492,68.43,50,0,9.04,clear sky
286,Kapit,MY,2.0167,112.9333,75.43,92,100,0.47,overcast clouds
287,Guane,CU,22.2025,-84.0875,67.46,69,0,10.6,clear sky
288,Lopik,NL,51.9725,4.9486,48.0,99,100,6.55,overcast clouds
289,Yulara,AU,-25.2406,130.9889,86.0,39,100,16.11,overcast clouds
290,Roanoke Rapids,US,36.4615,-77.6542,27.23,95,0,7.74,clear sky
291,Vila Velha,BR,-20.3297,-40.2925,78.8,78,0,10.36,clear sky
292,Boralday,KZ,43.3578,76.8594,16.56,89,7,1.34,clear sky
293,Bonavista,CA,48.6499,-53.1147,24.42,94,100,16.17,overcast clouds
294,Takoradi,GH,4.8845,-1.7554,78.01,89,32,5.28,scattered clouds
295,Moree,AU,-29.4667,149.85,86.0,37,40,11.5,scattered clouds
296,Feni,BD,23.0186,91.41,52.97,67,0,3.29,clear sky
297,Beringovskiy,RU,63.05,179.3167,-0.98,91,100,21.5,overcast clouds
298,Chara,RU,56.9064,118.2631,-32.8,77,100,0.89,overcast clouds
299,Bay Roberts,CA,47.5999,-53.2648,20.28,92,57,7.38,broken clouds
300,Caravelas,BR,-17.7125,-39.2481,76.26,85,1,6.26,clear sky
301,Hamilton,US,39.1834,-84.5333,27.0,69,0,4.74,clear sky
302,Sao Filipe,CV,14.8961,-24.4956,73.24,67,0,5.59,clear sky
303,Nelson Bay,AU,-32.7167,152.15,70.07,88,100,16.4,overcast clouds
304,Gibara,CU,21.1097,-76.1317,73.4,83,20,9.22,few clouds
305,Mayo,US,38.8876,-76.5119,30.99,43,1,17.27,clear sky
306,Carlsbad,US,33.1581,-117.3506,61.0,36,1,8.05,clear sky
307,Saint Anthony,US,45.0205,-93.218,21.2,63,90,10.36,overcast clouds
308,Aksarka,RU,66.5606,67.7975,-31.72,83,93,9.95,overcast clouds
309,Lhokseumawe,ID,5.1801,97.1507,77.13,80,100,4.34,overcast clouds
310,Byron Bay,AU,-28.65,153.6167,80.6,65,40,10.36,scattered clouds
311,Giraltovce,SK,49.114,21.5173,32.0,97,100,1.99,light snow
312,Aban,RU,56.67,96.06,-25.02,86,100,9.48,light snow
313,Kawalu,ID,-7.3817,108.2082,73.24,86,100,3.2,overcast clouds
314,Labuhan,ID,-6.8844,112.2051,79.56,85,100,16.22,light rain
315,Bullerup,DK,55.4269,10.4714,28.4,86,75,2.3,broken clouds
316,Batagay-Alyta,RU,67.8006,130.4114,-40.58,80,4,1.23,clear sky
317,Naples,IT,40.8333,14.25,48.99,87,75,1.14,broken clouds
318,Banjar,ID,-8.19,114.9675,84.2,74,20,8.05,few clouds
319,Rampur Hat,IN,24.1667,87.7833,48.49,47,0,3.0,clear sky
320,Aromashevo,RU,56.8602,68.6375,18.61,96,100,10.76,overcast clouds
321,The Valley,AI,18.217,-63.0578,77.31,75,36,8.7,scattered clouds
322,Abha,SA,18.2164,42.5053,51.8,46,0,2.91,clear sky
323,Hermosillo,MX,29.0667,-110.9667,80.6,21,40,8.75,scattered clouds
324,Sinnamary,GF,5.3833,-52.95,76.68,84,100,9.06,overcast clouds
325,Manjacaze,MZ,-24.7117,33.8828,74.14,94,100,5.23,overcast clouds
326,Islamkot,PK,24.6997,70.177,56.62,30,0,9.66,clear sky
327,Narsaq,GL,60.9167,-46.05,44.6,31,75,39.12,broken clouds
328,Balad,IQ,34.0164,44.1453,52.63,61,6,5.5,clear sky
329,Poum,NC,-20.2333,164.0167,81.23,77,100,8.66,overcast clouds
330,Sumbe,AO,-11.2061,13.8437,75.51,81,89,6.15,overcast clouds
331,Kirakira,SB,-10.4544,161.9205,81.73,83,100,17.05,heavy intensity rain
332,Morant Bay,JM,17.8815,-76.4093,82.4,57,20,17.27,few clouds
333,North Platte,US,41.1239,-100.7654,19.4,73,1,5.75,clear sky
334,Marystown,CA,47.1666,-55.1483,25.25,91,49,8.08,scattered clouds
335,Myanaung,MM,18.2833,95.3167,70.21,54,0,6.2,clear sky
336,Constitucion,CL,-35.3333,-72.4167,59.56,86,99,6.67,overcast clouds
337,Seinajoki,FI,62.7945,22.8282,19.99,93,90,3.44,light snow
338,Cacador,BR,-26.7753,-51.015,65.77,94,100,5.23,overcast clouds
339,Katobu,ID,-4.9408,122.5276,77.4,90,100,3.83,overcast clouds
340,Keningau,MY,5.3378,116.1602,75.33,79,100,2.33,overcast clouds
341,Kosonsoy,UZ,41.2561,71.5508,28.4,59,0,6.91,clear sky
342,Ulladulla,AU,-35.35,150.4667,65.62,90,100,11.61,light rain
343,Aquiraz,BR,-3.9014,-38.3911,82.4,74,40,12.66,scattered clouds
344,Pathanamthitta,IN,9.2667,76.7833,68.7,87,3,2.04,clear sky
345,General Roca,AR,-39.0333,-67.5833,69.66,38,100,28.74,overcast clouds
